Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	HGNC symbol
ENSG00000277356	ENSG00000277356.1	3802	KIR2DL1
ENSG00000263057	ENSG00000263057.2	54474	KRT20
ENSG00000278755	ENSG00000278755.1	3802	KIR2DL1
ENSG00000274786	ENSG00000274786.1	115653	KIR3DL3
ENSG00000275937	ENSG00000275937.1	553128	KIR2DL5B
ENSG00000262647	ENSG00000262647.3	283189	OR9G4
ENSG00000277885	ENSG00000277885.1	100132285	KIR2DS2
ENSG00000277885	ENSG00000277885.1	124900575	KIR2DS2
ENSG00000262068	ENSG00000262068.3	83896	KRTAP3-1
ENSG00000281107	ENSG00000281107.1		OR5G3
ENSG00000276011	ENSG00000276011.1	3803	KIR2DL2
ENSG00000263296	ENSG00000263296.2	83897	KRTAP3-2
ENSG00000277552	ENSG00000277552.1	115653	KIR3DL3
ENSG00000262121	ENSG00000262121.2	100132386	KRTAP4-9
ENSG00000273502	ENSG00000273502.4	115653	KIR3DL3
ENSG00000261958	ENSG00000261958.1	390174	OR9G1
ENSG00000263091	ENSG00000263091.2	85294	KRTAP2-4
ENSG00000262191	ENSG00000262191.1	504191	OR9G9
ENSG00000263309	ENSG00000263309.6	25984	KRT23
ENSG00000276218	ENSG00000276218.5	3804	KIR2DL3
ENSG00000274438	ENSG00000274438.1	100132285	KIR2DS2
ENSG00000274438	ENSG00000274438.1	124900575	KIR2DS2
ENSG00000277362	ENSG00000277362.1	3805	KIR2DL4
ENSG00000277362	ENSG00000277362.1	124900568	KIR2DL4
ENSG00000277750	ENSG00000277750.1	3805	KIR2DL4
ENSG00000277750	ENSG00000277750.1	124900568	KIR2DL4
ENSG00000278758	ENSG00000278758.4	3812	KIR3DL2
ENSG00000275629	ENSG00000275629.4	3812	KIR3DL2
ENSG00000278726	ENSG00000278726.4	3812	KIR3DL2
ENSG00000274947	ENSG00000274947.1	3809	KIR2DS4
ENSG00000278025	ENSG00000278025.4	9437	NCR1
ENSG00000277850	ENSG00000277850.4	3805	KIR2DL4
ENSG00000277850	ENSG00000277850.4	124900568	KIR2DL4
ENSG00000279566	ENSG00000279566.1	7594	ZNF43
ENSG00000267728	ENSG00000267728.3	81870	KRTAP9-9
ENSG00000275974	ENSG00000275974.2	728945	PPIAL4F
ENSG00000263090	ENSG00000263090.5	83899	KRTAP9-2
ENSG00000262512	ENSG00000262512.2	85280	KRTAP9-4
ENSG00000274746	ENSG00000274746.4	163227	ZNF100
ENSG00000262749	ENSG00000262749.2	83900	KRTAP9-3
ENSG00000274465	ENSG00000274465.5	3813	KIR3DS1
ENSG00000267635	ENSG00000267635.1	100505724	
ENSG00000267635	ENSG00000267635.1	100507608	
ENSG00000262573	ENSG00000262573.2	83899	KRTAP9-2
ENSG00000262218	ENSG00000262218.1	100533177	KRTAP29-1
ENSG00000262896	ENSG00000262896.2	85280	KRTAP9-4
ENSG00000263263	ENSG00000263263.1	100507608	KRTAP9-6
ENSG00000262221	ENSG00000262221.1	100505724	KRTAP9-7
ENSG00000262845	ENSG00000262845.7	125115	KRT40
ENSG00000262542	ENSG00000262542.1	100533177	KRTAP29-1
ENSG00000262594	ENSG00000262594.4	81870	KRTAP9-9
ENSG00000280830	ENSG00000280830.1	55256	ADI1
ENSG00000274891	ENSG00000274891.3	51112	TRAPPC12
ENSG00000275416	ENSG00000275416.4	3812	KIR3DL2
ENSG00000276395	ENSG00000276395.1	3809	KIR2DS4
ENSG00000276310	ENSG00000276310.1	3802	KIR2DL1
ENSG00000276465	ENSG00000276465.1	3809	KIR2DS4
ENSG00000262808	ENSG00000262808.2	81851	KRTAP1-1
ENSG00000262731	ENSG00000262731.3	728279	
ENSG00000263229	ENSG00000263229.4	653240	KRTAP4-11
ENSG00000277392	ENSG00000277392.1	115653	KIR3DL3
ENSG00000262347	ENSG00000262347.2	81850	KRTAP1-3
ENSG00000262520	ENSG00000262520.1	85354	KRTAP4-16
ENSG00000263243	ENSG00000263243.2	3859	KRT12
ENSG00000277028	ENSG00000277028.1	115653	KIR3DL3
ENSG00000261862	ENSG00000261862.2	83895	KRTAP1-5
ENSG00000277196	ENSG00000277196.4		
ENSG00000262164	ENSG00000262164.6	390792	KRT39
ENSG00000275353	ENSG00000275353.1	3809	KIR2DS4
ENSG00000277442	ENSG00000277442.4	9437	NCR1
ENSG00000275456	ENSG00000275456.1	3805	KIR2DL4
ENSG00000275456	ENSG00000275456.1	124900568	KIR2DL4
ENSG00000278809	ENSG00000278809.4	3812	KIR3DL2
ENSG00000261852	ENSG00000261852.3	81872	KRTAP2-1
ENSG00000263101	ENSG00000263101.2	85293	KRTAP3-3
ENSG00000262862	ENSG00000262862.2	730755	KRTAP2-3
ENSG00000263236	ENSG00000263236.2	83755	KRTAP4-12
ENSG00000274429	ENSG00000274429.2	9231	DLG5
ENSG00000263242	ENSG00000263242.2	728255	KRTAP1-4
ENSG00000278368	ENSG00000278368.5	3811	KIR3DL1
ENSG00000266286	ENSG00000266286.2	100996750	
ENSG00000261968	ENSG00000261968.3	728224	KRTAP4-8
ENSG00000276333	ENSG00000276333.2	64711	HS3ST6
ENSG00000278495	ENSG00000278495.4	3802	KIR2DL1
ENSG00000276882	ENSG00000276882.4	3812	KIR3DL2
ENSG00000281763	ENSG00000281763.2	170506	DHX36
ENSG00000278817	ENSG00000278817.1		
ENSG00000275428	ENSG00000275428.2		
ENSG00000276017	ENSG00000276017.1		
ENSG00000275637	ENSG00000275637.4	9437	NCR1
ENSG00000276371	ENSG00000276371.2	58516	SINHCAF
ENSG00000281151	ENSG00000281151.2	3785	KCNQ2
ENSG00000277101	ENSG00000277101.4	26084	ARHGEF26
ENSG00000281020	ENSG00000281020.2	54221	SNTG2
ENSG00000277603	ENSG00000277603.4	7173	TPO
ENSG00000276625	ENSG00000276625.4	3802	KIR2DL1
ENSG00000275047	ENSG00000275047.1	3810	KIR2DS5
ENSG00000275511	ENSG00000275511.4	3812	KIR3DL2
ENSG00000275317	ENSG00000275317.4	3805	KIR2DL4
ENSG00000275317	ENSG00000275317.4	124900568	KIR2DL4
ENSG00000262102	ENSG00000262102.1	92126	DSEL
ENSG00000275306	ENSG00000275306.1	3806	KIR2DS1
ENSG00000278403	ENSG00000278403.4	3812	KIR3DL2
ENSG00000278116	ENSG00000278116.1	57292	KIR2DL5A
ENSG00000275051	ENSG00000275051.2	9271	PIWIL1
ENSG00000275500	ENSG00000275500.1	102725023	
ENSG00000276327	ENSG00000276327.1	3806	KIR2DS1
ENSG00000280635	ENSG00000280635.1	5626	PROP1
ENSG00000277354	ENSG00000277354.1	51232	CRIM1
ENSG00000274957	ENSG00000274957.1	3809	KIR2DS4
ENSG00000278430	ENSG00000278430.4	3805	KIR2DL4
ENSG00000278430	ENSG00000278430.4	124900568	KIR2DL4
ENSG00000282665	ENSG00000282665.1	157697	ERICH1
ENSG00000276086	ENSG00000276086.1	115653	KIR3DL3
ENSG00000275737	ENSG00000275737.1	100132285	KIR2DS2
ENSG00000275737	ENSG00000275737.1	124900575	KIR2DS2
ENSG00000280759	ENSG00000280759.2	161	AP2A2
ENSG00000262156	ENSG00000262156.4	200315	APOBEC3A
ENSG00000262156	ENSG00000262156.4	100913187	APOBEC3A
ENSG00000278481	ENSG00000278481.1	553128	KIR2DL5B
ENSG00000278229	ENSG00000278229.2	6218	RPS17
ENSG00000277163	ENSG00000277163.1	3808	KIR2DS3
ENSG00000276256	ENSG00000276256.1	389831	
ENSG00000276256	ENSG00000276256.1	124900580	
ENSG00000278086	ENSG00000278086.1	102725023	
ENSG00000277540	ENSG00000277540.4	3805	KIR2DL4
ENSG00000277540	ENSG00000277540.4	124900568	KIR2DL4
ENSG00000273603	ENSG00000273603.1	3806	KIR2DS1
ENSG00000275596	ENSG00000275596.1	57292	KIR2DL5A
ENSG00000275596	ENSG00000275596.1	124900569	KIR2DL5A
ENSG00000275608	ENSG00000275608.5	3813	KIR3DS1
ENSG00000282302	ENSG00000282302.4	10801	SEPTIN9
ENSG00000280807	ENSG00000280807.2	114791	TUBGCP5
ENSG00000275037	ENSG00000275037.5	3813	KIR3DS1
ENSG00000277445	ENSG00000277445.4	64506	CPEB1
ENSG00000278788	ENSG00000278788.4	22904	SBNO2
ENSG00000277518	ENSG00000277518.4	4588	MUC6
ENSG00000282152	ENSG00000282152.1	9228	DLGAP2
ENSG00000278247	ENSG00000278247.2	283767	GOLGA6L1
ENSG00000278247	ENSG00000278247.2	124900581	GOLGA6L1
ENSG00000278247	ENSG00000278247.2	124905482	GOLGA6L1
ENSG00000278247	ENSG00000278247.2	124907501	GOLGA6L1
ENSG00000280618	ENSG00000280618.2	23191	CYFIP1
ENSG00000276582	ENSG00000276582.1	8647	ABCB11
ENSG00000278373	ENSG00000278373.4	57818	G6PC2
ENSG00000278821	ENSG00000278821.4	3802	KIR2DL1
ENSG00000277389	ENSG00000277389.1	440023	KRTAP5-6
ENSG00000280585	ENSG00000280585.1	387264	KRTAP5-1
ENSG00000278728	ENSG00000278728.2	26047	CNTNAP2
ENSG00000278620	ENSG00000278620.3	387267	KRTAP5-4
ENSG00000281919	ENSG00000281919.2	51151	SLC45A2
ENSG00000278302	ENSG00000278302.2	439915	KRTAP5-5
ENSG00000277909	ENSG00000277909.4	57405	SPC25
ENSG00000277069	ENSG00000277069.2	51289	RXFP3
ENSG00000281690	ENSG00000281690.2	81792	ADAMTS12
ENSG00000275009	ENSG00000275009.2	283767	GOLGA6L1
ENSG00000275009	ENSG00000275009.2	124900581	GOLGA6L1
ENSG00000275009	ENSG00000275009.2	124905482	GOLGA6L1
ENSG00000275009	ENSG00000275009.2	124907501	GOLGA6L1
ENSG00000278165	ENSG00000278165.3	1850	DUSP8
ENSG00000274296	ENSG00000274296.3	26063	DECR2
ENSG00000273498	ENSG00000273498.4	3805	KIR2DL4
ENSG00000273498	ENSG00000273498.4	124900568	KIR2DL4
ENSG00000282752	ENSG00000282752.1	9150	CTDP1
ENSG00000275326	ENSG00000275326.4	115677	NOSTRIN
ENSG00000276856	ENSG00000276856.3	114791	TUBGCP5
ENSG00000281618	ENSG00000281618.1	402778	IFITM10
ENSG00000275517	ENSG00000275517.4	5542	PRB1
ENSG00000275517	ENSG00000275517.4	653247	PRB1
ENSG00000281191	ENSG00000281191.2	387266	KRTAP5-3
ENSG00000281533	ENSG00000281533.1	440021	KRTAP5-2
ENSG00000279389	ENSG00000279389.3	9710	GARRE1
ENSG00000281758	ENSG00000281758.1	80333	KCNIP4
ENSG00000278361	ENSG00000278361.4	3812	KIR3DL2
ENSG00000262860	ENSG00000262860.5	26065	LSM14A
ENSG00000276731	ENSG00000276731.1	3803	KIR2DL2
ENSG00000262634	ENSG00000262634.5	220134	SKA1
ENSG00000276177	ENSG00000276177.1	57292	KIR2DL5A
ENSG00000274394	ENSG00000274394.1	115653	KIR3DL3
ENSG00000275031	ENSG00000275031.2	284207	METRNL
ENSG00000278759	ENSG00000278759.2	6904	TBCD
ENSG00000262473	ENSG00000262473.5	2618	GART
ENSG00000275338	ENSG00000275338.4	9727	RAB11FIP3
ENSG00000278277	ENSG00000278277.1		
ENSG00000278692	ENSG00000278692.1	3803	KIR2DL2
ENSG00000275522	ENSG00000275522.4	3802	KIR2DL1
ENSG00000275735	ENSG00000275735.1	100132285	KIR2DS2
ENSG00000275735	ENSG00000275735.1	124900575	KIR2DS2
ENSG00000276896	ENSG00000276896.4	100132565	GOLGA8F
ENSG00000262911	ENSG00000262911.5	54943	DNAJC28
ENSG00000281486	ENSG00000281486.1	54221	SNTG2
ENSG00000274404	ENSG00000274404.3	440243	GOLGA6L22
ENSG00000278489	ENSG00000278489.2	440021	KRTAP5-2
ENSG00000278659	ENSG00000278659.1	254879	OR2T6
ENSG00000262795	ENSG00000262795.5	3460	IFNGR2
ENSG00000275754	ENSG00000275754.2	401992	OR2T2
ENSG00000277175	ENSG00000277175.5	3811	KIR3DL1
ENSG00000275617	ENSG00000275617.1	127074	OR2T4
ENSG00000275920	ENSG00000275920.1	387266	KRTAP5-3
ENSG00000277068	ENSG00000277068.2	387267	KRTAP5-4
ENSG00000274320	ENSG00000274320.2	440295	GOLGA6L9
ENSG00000278210	ENSG00000278210.1	387264	KRTAP5-1
ENSG00000281489	ENSG00000281489.1	81458	OR2T7
ENSG00000273651	ENSG00000273651.4	283768	GOLGA8G
ENSG00000273508	ENSG00000273508.1	26696	OR2T1
ENSG00000277291	ENSG00000277291.2	439915	KRTAP5-5
ENSG00000277113	ENSG00000277113.2	343173	OR2T3
ENSG00000275102	ENSG00000275102.2	401993	OR2T5
ENSG00000273793	ENSG00000273793.3	1850	DUSP8
ENSG00000282755	ENSG00000282755.1		
ENSG00000276565	ENSG00000276565.1		
ENSG00000274042	ENSG00000274042.2	647042	
ENSG00000275049	ENSG00000275049.1		
ENSG00000274166	ENSG00000274166.2	643707	GOLGA6L10
ENSG00000274166	ENSG00000274166.2	647042	GOLGA6L10
ENSG00000274166	ENSG00000274166.2	102724117	GOLGA6L10
ENSG00000281775	ENSG00000281775.2	10841	FTCD
ENSG00000277400	ENSG00000277400.1		
ENSG00000274847	ENSG00000274847.1	727764	MAFIP
ENSG00000261846	ENSG00000261846.2	344752	AADACL2
ENSG00000263160	ENSG00000263160.6	757	TMEM50B
ENSG00000226463	ENSG00000226463.1	26692	OR2W1
ENSG00000281216	ENSG00000281216.1	55083	KIF26B
ENSG00000278633	ENSG00000278633.1		
ENSG00000273831	ENSG00000273831.2	115399	LRRC56
ENSG00000277033	ENSG00000277033.2	146712	B3GNTL1
ENSG00000277033	ENSG00000277033.2	124907948	B3GNTL1
ENSG00000281289	ENSG00000281289.2	4047	LSS
ENSG00000263141	ENSG00000263141.5	94104	PAXBP1
ENSG00000276920	ENSG00000276920.4	85409	NKD2
ENSG00000262938	ENSG00000262938.6	56245	C21orf62
ENSG00000274780	ENSG00000274780.2	57661	PHRF1
ENSG00000277365	ENSG00000277365.3	4700	NDUFA6
ENSG00000236927	ENSG00000236927.4	442191	OR14J1
ENSG00000277278	ENSG00000277278.4	8924	HERC2
ENSG00000272835	ENSG00000272835.3	91689	SMDT1
ENSG00000274112	ENSG00000274112.2	91689	SMDT1
ENSG00000277251	ENSG00000277251.5	3803	KIR2DL2
ENSG00000274700	ENSG00000274700.1		
ENSG00000273397	ENSG00000273397.4	4700	NDUFA6
ENSG00000234495	ENSG00000234495.7	5987	TRIM27
ENSG00000275211	ENSG00000275211.4	1565	CYP2D6
ENSG00000273748	ENSG00000273748.1		
ENSG00000276482	ENSG00000276482.3	10723	SLC12A7
ENSG00000272000	ENSG00000272000.6	101929829	
ENSG00000274679	ENSG00000274679.4	84221	SPATC1L
ENSG00000275333	ENSG00000275333.4	84498	FAM120B
ENSG00000281038	ENSG00000281038.1	504190	OR8U9
ENSG00000263150	ENSG00000263150.3	81169	OR8J2
ENSG00000262315	ENSG00000262315.4	504189	OR8U8
ENSG00000261897	ENSG00000261897.1	390154	OR5T3
ENSG00000262851	ENSG00000262851.2	219464	OR5T2
ENSG00000262755	ENSG00000262755.1	219473	OR8K3
ENSG00000262611	ENSG00000262611.4	219469	OR8H1
ENSG00000262784	ENSG00000262784.2	390155	OR5T1
ENSG00000268674	ENSG00000268674.2	124903857	
ENSG00000268674	ENSG00000268674.2	124905556	
ENSG00000268674	ENSG00000268674.2	124905693	
ENSG00000268674	ENSG00000268674.2	124905699	
ENSG00000263328	ENSG00000263328.2	390157	OR8K1
ENSG00000277475	ENSG00000277475.1		
ENSG00000262796	ENSG00000262796.1	219477	OR8J1
ENSG00000277848	ENSG00000277848.4	84465	MEGF11
ENSG00000278427	ENSG00000278427.5	3811	KIR3DL1
ENSG00000272532	ENSG00000272532.7	1565	CYP2D6
ENSG00000260873	ENSG00000260873.6	6645	SNTB2
ENSG00000262788	ENSG00000262788.3	84916	UTP4
ENSG00000225351	ENSG00000225351.4	282890	ZNF311
