"Orthogroup","V1","Entrez"
"OG0000262","XP_015132389","424807"
"OG0000263","NP_001264739","425664"
"OG0000264","XP_001235376","772210"
"OG0000265","NP_001034692","427185"
"OG0000266","XP_003641914","415578"
"OG0000267","NP_001007848","417632"
"OG0000269","XP_004946289","417440"
"OG0000270","NP_001182353","424122"
"OG0000271","NP_001039300","420696"
"OG0000272","NP_001383244","416778"
"OG0000273","NP_001027570","419244"
"OG0000274","NP_001383598","101749182"
"OG0000275","XP_003642903","100857182"
"OG0000276","NP_001186448","423628"
"OG0000277","XP_040555914","101751235"
"OG0000278","XP_015140713","428660"
"OG0000279","XP_015132968","100858919"
"OG0000281","XP_040503128","425481"
"OG0000286","NP_001305353","121107851"
"OG0000286","NP_001305353","107049761"
"OG0000286","NP_001305353","100859180"
"OG0000289","NP_001025768","416014"
"OG0000290","XP_015149428","416293"
"OG0000291","XP_015141045","395168"
"OG0000292","XP_025010747","416246"
"OG0000293","XP_004941005","422452"
"OG0000295","XP_004949594","770158"
"OG0000296","NP_001006152","416318"
"OG0000297","NP_990044","395452"
"OG0000298","NP_990573","396170"
"OG0000299","XP_004939382","772367"
"OG0000300","NP_001383316","395928"
"OG0000301","NP_001026238","421608"
"OG0000302","NP_001001473","414140"
"OG0000303","NP_001001754","414835"
"OG0000304","XP_015151177","396504"
"OG0000305","XP_040505799","768861"
"OG0000306","XP_040546999","420170"
"OG0000307","NP_990540","396130"
"OG0000308","XP_025005559","100859744"
"OG0000309","XP_015132066","428743"
"OG0000310","NP_001257923","416306"
"OG0000311","NP_001004380","417771"
"OG0000312","XP_417682","419530"
"OG0000314","NP_001007846","417438"
"OG0000315","XP_015149966","416567"
"OG0000316","NP_001001300","408025"
"OG0000317","XP_015151012","422099"
"OG0000318","XP_040508511","107055136"
"OG0000320","XP_015147135","395730"
"OG0000321","NP_989801","395124"
"OG0000322","XP_415088","416796"
"OG0000323","NP_001263212","373886"
"OG0000324","XP_025007564","423885"
"OG0000326","NP_001305369","395092"
"OG0000327","NP_001006381","420955"
"OG0000328","XP_015136513","768507"
"OG0000329","XP_025007365","423807"
"OG0000330","XP_015154124","425592"
"OG0000331","NP_001383805","416132"
"OG0000332","XP_040553292","421381"
"OG0000333","XP_040508849","428260"
"OG0000334","NP_001026405","423871"
"OG0000335","XP_040551956","121109863"
"OG0000335","XP_040551956","107050437"
"OG0000336","XP_015155231","430487"
"OG0000337","XP_040554061","428632"
"OG0000338","NP_001025885","417545"
"OG0000338","NP_001025885","396498"
"OG0000339","XP_040522294","418506"
"OG0000340","XP_422428","424589"
"OG0000340","XP_422428","424588"
"OG0000342","NP_001026396","423716"
"OG0000343","XP_040553515","418223"
"OG0000344","NP_990401","395952"
"OG0000348","XP_040508385","107049673"
"OG0000349","NP_989915","395276"
"OG0000350","NP_990350","395873"
"OG0000351","NP_001384162","723973"
"OG0000352","NP_001026618","427427"
"OG0000353","XP_004934744","418612"
"OG0000354","XP_015128623","418620"
"OG0000355","NP_001006264","418639"
"OG0000356","NP_001011688","418638"
"OG0000357","NP_989703","378798"
"OG0000358","NP_001384174","418669"
"OG0000359","XP_015141534","422946"
"OG0000360","NP_001025892","417637"
"OG0000361","NP_001026524","426000"
"OG0000362","XP_414824","416520"
"OG0000363","XP_040510867","107049717"
"OG0000364","NP_001034578","419368"
"OG0000365","NP_001239028","418785"
"OG0000367","NP_001384160","423460"
"OG0000368","NP_001103255","423463"
"OG0000369","XP_004936455","423492"
"OG0000370","XP_004940182","421215"
"OG0000371","NP_001026692","428579"
"OG0000372","NP_001012938","424251"
"OG0000373","XP_015145250","431387"
"OG0000374","NP_001008746","474379"
"OG0000375","NP_989465","373927"
"OG0000376","XP_003642300","417253"
"OG0000377","XP_004936631","424479"
"OG0000380","NP_001006179","416724"
"OG0000381","XP_015134792","395248"
"OG0000382","XP_001231545","421936"
"OG0000383","NP_990075","395503"
"OG0000384","NP_989708","378891"
"OG0000385","XP_004944045","415587"
"OG0000386","XP_003640478","100857902"
"OG0000387","NP_001165064","427937"
"OG0000388","NP_989860","395202"
"OG0000389","XP_015131181","416765"
"OG0000390","XP_015130889","416979"
"OG0000391","NP_998737","404747"
"OG0000392","NP_001008455","420210"
"OG0000393","NP_001005802","415334"
"OG0000394","NP_001383734","419198"
"OG0000395","XP_015133327","418910"
"OG0000396","XP_015140979","422765"
"OG0000397","XP_025002617","418936"
"OG0000398","XP_015132159","422476"
"OG0000399","XP_040554250","421756"
"OG0000400","XP_015128529","107049457"
"OG0000401","XP_040507637","419570"
"OG0000402","NP_989436","373894"
"OG0000403","NP_990165","395638"
"OG0000404","XP_003641042","421620"
"OG0000405","NP_001012805","416496"
"OG0000406","NP_990207","395689"
"OG0000407","XP_416490","418265"
"OG0000408","NP_001239150","396431"
"OG0000409","XP_015155138","374232"
"OG0000410","NP_001012970","429021"
"OG0000412","XP_015151470","417498"
"OG0000413","XP_025010342","415889"
"OG0000414","XP_004937556","418644"
"OG0000416","XP_003642054","100858827"
"OG0000417","XP_015133927","422229"
"OG0000418","XP_015130400","428021"
"OG0000419","NP_001034385","422249"
"OG0000420","NP_989821","395150"
"OG0000421","XP_015133935","422234"
"OG0000422","XP_015132208","422457"
"OG0000423","NP_001264749","422422"
"OG0000424","NP_990196","395672"
"OG0000425","XP_015142318","423119"
"OG0000426","XP_001234989","771745"
"OG0000427","XP_015138332","417837"
"OG0000428","NP_001007853","417840"
"OG0000429","NP_001383882","396083"
"OG0000430","XP_015156364","418545"
"OG0000431","NP_989953","395331"
"OG0000432","XP_004944721","416080"
"OG0000433","NP_001041544","424231"
"OG0000434","NP_001025970","418563"
"OG0000435","NP_001007964","425012"
"OG0000436","XP_015151876","419255"
"OG0000437","XP_015140465","421985"
"OG0000438","NP_001026394","423670"
"OG0000439","XP_003641325","428812"
"OG0000440","XP_040555563","422530"
"OG0000441","NP_001006241","418016"
"OG0000442","XP_015149910","416526"
"OG0000443","XP_040505682","427809"
"OG0000444","NP_001006291","419196"
"OG0000445","XP_015136994","420724"
"OG0000446","NP_001026165","420735"
"OG0000447","NP_001090995","417506"
"OG0000448","XP_025011473","416806"
"OG0000449","XP_040506926","419280"
"OG0000450","XP_001232858","416770"
"OG0000451","NP_001006286","419150"
"OG0000452","XP_417421","419248"
"OG0000452","XP_417421","419247"
"OG0000453","XP_003643107","427123"
"OG0000454","XP_015155004","419999"
"OG0000455","XP_015145176","101751124"
"OG0000456","NP_001292145","395571"
"OG0000457","NP_001264784","424142"
"OG0000458","NP_990716","396345"
"OG0000459","XP_015132672","424751"
"OG0000460","NP_998742","404755"
"OG0000461","NP_989634","374189"
"OG0000462","XP_040507590","419010"
"OG0000463","NP_989577","374094"
"OG0000464","XP_015153219","769687"
"OG0000465","NP_001383546","428249"
"OG0000466","XP_040556521","395618"
"OG0000467","XP_015135815","427249"
"OG0000468","XP_015133525","395589"
"OG0000469","XP_416426","418196"
"OG0000470","NP_989671","374252"
"OG0000471","XP_015137811","420953"
"OG0000472","XP_015133285","418714"
"OG0000473","NP_001026489","424963"
"OG0000474","XP_003640577","418744"
"OG0000475","NP_001026540","426284"
"OG0000476","NP_001384593","373920"
"OG0000477","XP_015148960","415960"
"OG0000478","XP_001232151","768977"
"OG0000479","XP_025005634","425353"
"OG0000480","XP_004943345","429077"
"OG0000481","XP_015145978","776024"
"OG0000482","NP_001006408","421772"
"OG0000483","NP_001006435","422332"
"OG0000484","NP_989945","395320"
"OG0000485","NP_001026293","422318"
"OG0000486","XP_416310","418074"
"OG0000487","XP_003640794","420817"
"OG0000488","NP_001025926","417971"
"OG0000489","NP_989575","374092"
"OG0000491","NP_001138699","419520"
"OG0000492","XP_015131571","374182"
"OG0000493","NP_990018","395422"
"OG0000494","XP_015137712","420919"
"OG0000495","XP_015145197","429030"
"OG0000496","XP_004936479","101752037"
"OG0000497","NP_001383695","421404"
"OG0000498","NP_001309297","423532"
"OG0000499","XP_015133533","421279"
"OG0000500","XP_015132237","423579"
"OG0000501","XP_003640979","431192"
"OG0000502","XP_024998566","425261"
"OG0000503","XP_004942574","100858906"
"OG0000504","XP_015147744","415521"
"OG0000505","XP_015141866","423043"
"OG0000506","NP_990585","396187"
"OG0000507","XP_015147519","107054196"
"OG0000508","XP_003641442","423046"
"OG0000509","XP_004937958","418139"
"OG0000510","NP_001035058","425968"
"OG0000511","NP_989638","374197"
"OG0000512","NP_001124214","427774"
"OG0000513","NP_989591","374111"
"OG0000514","XP_015155299","420087"
"OG0000515","NP_001264977","395218"
"OG0000516","NP_001005830","415549"
"OG0000517","NP_001186473","423618"
"OG0000518","XP_024999695","771930"
"OG0000519","NP_989610","374143"
"OG0000520","NP_001384388","415461"
"OG0000521","XP_004945480","416396"
"OG0000522","NP_001383408","414845"
"OG0000523","NP_001383541","427564"
"OG0000524","NP_001384132","423302"
"OG0000525","XP_004941794","423311"
"OG0000526","XP_004937385","427645"
"OG0000527","XP_015139219","421484"
"OG0000528","NP_001001469","395315"
"OG0000529","NP_001383761","421961"
"OG0000530","XP_025010489","416075"
"OG0000531","XP_004948787","427046"
"OG0000532","NP_001376576","769592"
"OG0000533","NP_001384352","424991"
"OG0000534","NP_001026531","426126"
"OG0000535","NP_001075165","374142"
"OG0000536","NP_990477","396051"
"OG0000537","NP_001186320","416707"
"OG0000538","NP_001013015","417165"
"OG0000539","XP_004943390","424903"
"OG0000540","XP_015147044","418200"
"OG0000541","XP_004935091","419896"
"OG0000542","NP_001006227","417739"
"OG0000543","NP_001026397","423723"
"OG0000544","XP_001232052","768898"
"OG0000545","XP_015152969","771327"
"OG0000546","XP_040561987","100858713"
"OG0000547","NP_001316425","429153"
"OG0000548","NP_989760","395072"
"OG0000549","NP_990294","395809"
"OG0000552","XP_040511063","100858546"
"OG0000555","NP_001264856","426218"
"OG0000556","XP_015132746","396430"
"OG0000557","XP_004937186","431656"
"OG0000558","XP_015134503","415356"
"OG0000559","NP_001376234","419803"
"OG0000560","XP_015143093","416676"
"OG0000561","XP_015144246","428972"
"OG0000562","NP_001012594","422496"
"OG0000563","NP_001006156","416341"
"OG0000564","XP_003641925","415374"
"OG0000566","NP_989962","395340"
"OG0000567","NP_001121574","751817"
"OG0000568","NP_001006182","416777"
"OG0000569","XP_040507266","419449"
"OG0000570","XP_425970","428409"
"OG0000571","XP_015137393","420571"
"OG0000572","XP_015137497","428420"
"OG0000573","XP_015135025","101748614"
"OG0000574","NP_001186359","421231"
"OG0000575","XP_001231893","423981"
"OG0000576","XP_421280","423365"
"OG0000577","XP_040513239","121108947"
"OG0000578","NP_990390","395932"
"OG0000579","XP_015131459","420851"
"OG0000580","NP_001292022","768866"
"OG0000581","NP_001307835","771259"
"OG0000582","XP_015136770","395355"
"OG0000583","XP_015137327","420622"
"OG0000584","NP_001383067","395208"
"OG0000585","NP_001006586","427389"
"OG0000586","XP_416994","418799"
"OG0000587","XP_015133981","422264"
"OG0000588","NP_989690","378781"
"OG0000589","XP_004939001","428121"
"OG0000590","NP_001026158","420630"
"OG0000591","XP_015154548","419847"
"OG0000593","XP_424806","427218"
"OG0000594","XP_004938719","418832"
"OG0000595","NP_001025792","416314"
"OG0000596","NP_001026749","429501"
"OG0000597","XP_040558243","423603"
"OG0000598","NP_001012901","422141"
"OG0000599","XP_004938772","418868"
"OG0000600","XP_015144407","423921"
"OG0000601","XP_015149940","416554"
"OG0000602","XP_025003261","420687"
"OG0000603","XP_004948637","771869"
"OG0000604","NP_001161207","420037"
"OG0000605","NP_001376307","416847"
"OG0000606","XP_015152256","419171"
"OG0000607","NP_001384426","751791"
"OG0000608","XP_417822","419675"
"OG0000609","XP_015153154","419656"
"OG0000610","NP_989487","373961"
"OG0000611","NP_001026067","419605"
"OG0000612","XP_003640902","100858205"
"OG0000613","XP_015140347","421884"
"OG0000614","XP_025003153","107055878"
"OG0000615","NP_001004371","415797"
"OG0000616","NP_001299607","422661"
"OG0000617","XP_015134454","415314"
"OG0000618","NP_001264389","415372"
"OG0000619","XP_001232311","769106"
"OG0000620","NP_001006378","420901"
"OG0000621","NP_001376294","395843"
"OG0000622","NP_001376436","422647"
"OG0000624","XP_040507492","425706"
"OG0000626","XP_015154952","425528"
"OG0000628","NP_989578","374095"
"OG0000629","NP_001026350","423028"
"OG0000630","XP_015135463","100859655"
"OG0000631","NP_001376577","121106428"
"OG0000631","NP_001376577","112529919"
"OG0000631","NP_001376577","431235"
"OG0000632","XP_004934525","417021"
"OG0000633","NP_001264711","770777"
"OG0000634","NP_001315419","423767"
"OG0000635","NP_001007489","426274"
"OG0000636","NP_001038150","693262"
"OG0000637","NP_990745","396383"
"OG0000638","XP_004948681","420015"
"OG0000639","NP_990098","395535"
"OG0000640","XP_040554237","421851"
"OG0000641","NP_001258911","408182"
"OG0000642","XP_040504189","417010"
"OG0000644","XP_015138705","776273"
"OG0000645","XP_418528","420422"
"OG0000646","NP_001039293","416328"
"OG0000647","XP_040512880","107049971"
"OG0000649","XP_015138077","421109"
"OG0000650","NP_001264265","395293"
"OG0000653","NP_001001310","408038"
"OG0000654","NP_001074343","769673"
"OG0000658","XP_015149377","100857281"
"OG0000659","XP_015149336","769546"
"OG0000660","NP_001091001","768854"
"OG0000661","NP_990001","395390"
"OG0000662","XP_015144408","423917"
"OG0000663","XP_003642967","100859339"
"OG0000664","NP_001263232","396544"
"OG0000665","XP_025006990","423435"
"OG0000666","NP_001376522","424057"
"OG0000667","NP_990251","395754"
"OG0000668","XP_015150272","418337"
"OG0000669","XP_425187","427615"
"OG0000670","NP_001305368","428171"
"OG0000671","XP_004945265","770581"
"OG0000672","NP_001001751","414832"
"OG0000673","NP_989898","395254"
"OG0000674","XP_024998571","418251"
"OG0000675","NP_001137441","420513"
"OG0000676","XP_004947935","419676"
"OG0000677","NP_001026545","426361"
"OG0000678","XP_417465","419293"
"OG0000678","XP_417465","419292"
"OG0000679","NP_001264763","421720"
"OG0000680","NP_001264646","100858296"
"OG0000681","XP_015155976","101748848"
"OG0000682","XP_024999764","101751434"
"OG0000684","XP_422784","424975"
"OG0000685","XP_015156815","100858707"
"OG0000686","XP_420547","422588"
"OG0000687","XP_040561613","418206"
"OG0000688","XP_040558336","423736"
"OG0000689","NP_990130","395582"
"OG0000690","XP_004939027","428110"
"OG0000691","NP_990735","396369"
"OG0000692","XP_015138907","421258"
"OG0000693","NP_001026943","424741"
"OG0000697","NP_001026347","423002"
"OG0000701","XP_015154162","426452"
"OG0000702","XP_015157893","100858473"
"OG0000703","XP_040511204","430910"
"OG0000704","NP_001264797","416893"
"OG0000705","XP_426673","429117"
"OG0000706","XP_040511130","100859467"
"OG0000707","NP_001280103","396190"
"OG0000708","XP_015153944","426718"
"OG0000709","NP_001376218","395821"
"OG0000710","XP_004937308","427146"
"OG0000711","XP_025011267","416931"
"OG0000713","XP_025003143","420378"
"OG0000714","NP_001280170","395497"
"OG0000715","XP_015157044","121111575"
"OG0000715","XP_015157044","121106444"
"OG0000715","XP_015157044","101747373"
"OG0000715","XP_015157044","768416"
"OG0000716","XP_015133895","422210"
"OG0000717","NP_990299","395815"
"OG0000718","XP_015136636","100858122"
"OG0000720","NP_001155122","769014"
"OG0000721","XP_015144800","770045"
"OG0000722","NP_001032920","419267"
"OG0000723","XP_015151399","417466"
"OG0000725","XP_040557011","423540"
"OG0000726","XP_024999699","107050492"
"OG0000727","NP_001004396","419956"
"OG0000728","NP_001007989","493647"
"OG0000729","XP_001234816","771552"
"OG0000730","NP_990307","424614"
"OG0000730","NP_990307","395824"
"OG0000731","NP_001025710","374211"
"OG0000733","XP_015143902","423786"
"OG0000734","XP_040561749","121111544"
"OG0000735","XP_003640982","100859609"
"OG0000736","XP_003640527","427975"
"OG0000737","NP_990208","395690"
"OG0000741","XP_015150132","416661"
"OG0000742","NP_001165239","421019"
"OG0000743","XP_025000333","112530482"
"OG0000744","NP_001020007","554219"
"OG0000747","NP_001008479","427425"
"OG0000748","XP_004949581","427342"
"OG0000749","XP_003640611","427010"
"OG0000750","XP_015155918","107049174"
"OG0000751","NP_001177406","424545"
"OG0000752","NP_001026573","426885"
"OG0000753","XP_418453","420346"
"OG0000754","NP_990377","395914"
"OG0000755","NP_001038129","427410"
"OG0000758","NP_001098534","100125831"
"OG0000759","XP_040552881","416734"
"OG0000760","NP_989533","374029"
"OG0000761","XP_025000351","431003"
"OG0000762","XP_024998174","107054877"
"OG0000764","NP_001017412","425801"
"OG0000765","XP_015145964","424412"
"OG0000766","XP_025000463","407092"
"OG0000767","XP_015153663","419751"
"OG0000769","XP_419621","421583"
"OG0000770","XP_015132792","427156"
"OG0000771","XP_015135858","427458"
"OG0000772","NP_989880","395232"
"OG0000773","XP_015150160","772096"
"OG0000774","NP_001012916","423118"
"OG0000775","XP_015128487","100859276"
"OG0000775","XP_015128487","425562"
"OG0000776","XP_015132766","416383"
"OG0000777","XP_422542","424716"
"OG0000778","NP_001007887","420149"
"OG0000779","XP_015150950","431090"
"OG0000780","XP_025000621","431623"
"OG0000781","NP_001264846","430670"
"OG0000782","XP_418266","420150"
"OG0000783","NP_001186450","423001"
"OG0000784","XP_040552479","421142"
"OG0000785","NP_001305933","107055097"
"OG0000788","XP_025008478","424003"
"OG0000789","XP_003641562","100858647"
"OG0000792","NP_001369511","117654556"
"OG0000794","NP_001305912","426826"
"OG0000797","XP_424699","427107"
"OG0000798","XP_025008898","416689"
"OG0000799","NP_001268672","427195"
"OG0000801","XP_015132886","426844"
"OG0000802","NP_001269206","426845"
"OG0000803","XP_015136073","395579"
"OG0000805","NP_001244277","427025"
"OG0000806","NP_001116235","427186"
"OG0000808","XP_015151260","417615"
"OG0000809","NP_989617","374159"
"OG0000810","XP_424768","427181"
"OG0000811","NP_001376575","768969"
"OG0000812","XP_004944525","100859224"
"OG0000813","NP_001028817","421999"
"OG0000814","XP_015135675","426535"
"OG0000815","XP_040507414","426925"
"OG0000816","NP_001153135","395544"
"OG0000818","XP_419909","421893"
"OG0000819","XP_040511959","418193"
"OG0000821","NP_001264305","417991"
"OG0000822","XP_421087","423161"
"OG0000823","XP_004948109","101751887"
"OG0000824","NP_001026636","427602"
"OG0000825","XP_004948276","101747315"
"OG0000826","NP_001264508","415756"
"OG0000827","NP_001028814","419851"
"OG0000829","XP_004949891","101750175"
"OG0000830","XP_040556548","395666"
"OG0000831","NP_001186594","423232"
"OG0000832","NP_989964","395344"
"OG0000833","XP_015147454","430027"
"OG0000835","NP_001025883","771679"
"OG0000835","NP_001025883","417536"
"OG0000835","NP_001025883","417535"
"OG0000836","NP_001186786","100529062"
"OG0000839","XP_040505004","417210"
"OG0000840","NP_001385071","426008"
"OG0000841","NP_001335489","418205"
"OG0000842","XP_416702","418494"
"OG0000843","XP_024999632","419818"
"OG0000846","XP_420887","422949"
"OG0000848","XP_025010948","101748640"
"OG0000851","NP_989913","395273"
"OG0000852","XP_418973","420886"
"OG0000856","NP_989764","395076"
"OG0000857","XP_004948533","121112207"
"OG0000857","XP_004948533","121112204"
"OG0000857","XP_004948533","121112205"
"OG0000857","XP_004948533","107055267"
"OG0000857","XP_004948533","107055264"
"OG0000857","XP_004948533","428295"
